ID_Venda;Data_Compra;Ano;Mes;Evento;Cidade;Estado;Regiao;Categoria_Evento;Publico_Alvo;Canal_Aquisicao;Tipo_Ingresso;Forma_Pagamento;Status_Venda;Genero_Cliente;Idade_Cliente;Preco_Ingresso_BRL;Quantidade;Valor_Bruto_BRL;Desconto_BRL;Receita_Liquida_BRL;Custo_Evento_BRL;Curtidas_Campanha;Compartilhamentos_Campanha;Novos_Seguidores;Satisfacao;Sentimento_Publico
1066;2025-12-18;2025;12;Feira Geek Local;Belém;PA;Norte;E-sports;Adolescente;Email Marketing;Pista;Cartão Crédito;Check-in realizado;Feminino;32;118,51;2;237,03;11,85;225,18;105,92;127;19;4;3;Negativo
1067;2026-03-27;2026;3;Brasil Game Show;Porto Alegre;RS;Sul;Anime;Jovem adulto;Instagram;VIP;Pix;Confirmado;Feminino;35;457,98;1;457,98;91,60;366,38;228,62;1201;287;145;7;Muito positivo
1068;2025-01-23;2025;1;Lançamento Indie;Belém;PA;Norte;Games;Jovem adulto;Google;VIP;Cartão Crédito;Confirmado;Não informado;53;260,92;2;521,85;0,00;521,85;207,56;51;8;3;9;Positivo
1069;2025-06-12;2025;6;Lançamento Indie;Porto Alegre;RS;Sul;Games;Família;TikTok;VIP;Cartão Crédito;Confirmado;Feminino;21;201,30;1;201,30;0,00;201,30;142,69;213;53;16;6;Neutro
1070;2025-05-23;2025;5;CCXP;Recife;PE;Nordeste;Games;Creator/Influencer;Indicação;Pista;Pix;Confirmado;Masculino;52;155,13;1;155,13;0,00;155,13;81,30;305;55;22;10;Muito positivo
1071;2025-09-09;2025;9;Feira Geek Local;Belém;PA;Norte;Games;Família;Google;Pista;Pix;Reembolsado;Feminino;19;65,13;1;65,13;6,51;0,00;17,52;127;22;12;1;Negativo
1072;2026-03-06;2026;3;CCXP;Belo Horizonte;MG;Sudeste;Cosplay;Adulto;YouTube;Pista;Cartão Débito;Check-in realizado;Feminino;53;80,28;1;80,28;4,01;76,27;28,68;1101;297;64;1;Negativo
1073;2025-08-04;2025;8;Torneio E-sports;Belém;PA;Norte;Games;Jovem adulto;Google;Pista;Cartão Crédito;Check-in realizado;Feminino;49;45,76;2;91,53;4,58;86,95;41,48;308;77;28;10;Positivo
1074;2025-01-18;2025;1;Festival K-pop;Salvador;BA;Nordeste;E-sports;Família;TikTok;VIP;Pix;Check-in realizado;Feminino;36;306,75;2;613,51;30,68;582,83;317,77;2925;554;179;7;Positivo
1075;2026-01-12;2026;1;CCXP;Belém;PA;Norte;Anime;Adolescente;Indicação;Meet & Greet;Cartão Crédito;Confirmado;Feminino;32;952,38;2;1904,77;285,72;1619,05;1075,37;143;21;10;7;Neutro
1076;2025-05-17;2025;5;CCXP;Campinas;SP;Sudeste;E-sports;Adolescente;Instagram;Online;Carteira Digital;Confirmado;Masculino;54;50,70;1;50,70;0,00;50,70;28,66;3270;781;422;3;Neutro
1077;2025-05-23;2025;5;Torneio E-sports;Curitiba;PR;Sul;Anime;Jovem adulto;YouTube;VIP;Cartão Crédito;Confirmado;Masculino;18;166,30;1;166,30;33,26;133,04;118,52;140;30;12;10;Muito positivo
1078;2025-10-08;2025;10;Encontro Cosplay;Recife;PE;Nordeste;E-sports;Creator/Influencer;YouTube;VIP;Pix;Check-in realizado;Feminino;45;261,16;3;783,47;78,35;705,12;393,52;1411;338;107;6;Positivo
1079;2025-10-28;2025;10;Brasil Game Show;Manaus;AM;Norte;Anime;Adulto;YouTube;Online;Cartão Débito;Confirmado;Feminino;37;75,22;1;75,22;22,57;52,65;45,18;486;85;16;2;Negativo
1080;2025-09-06;2025;9;Maratona Streamer;Florianópolis;SC;Sul;K-pop;Adulto;Email Marketing;Pista;Pix;Confirmado;Masculino;34;56,57;1;56,57;5,66;50,91;38,83;15;1;1;10;Muito positivo
1081;2025-12-29;2025;12;Maratona Streamer;Campinas;SP;Sudeste;Anime;Creator/Influencer;YouTube;Camarote;Pix;Confirmado;Masculino;23;665,65;2;1331,30;0,00;1331,30;462,64;637;55;17;10;Muito positivo
1082;2025-06-03;2025;6;Encontro Cosplay;Brasília;DF;Centro-Oeste;Games;Adulto;Google;Pista;Boleto;Confirmado;Não informado;19;131,33;4;525,32;0,00;525,32;264,24;215;29;12;4;Negativo
1083;2025-06-12;2025;6;Brasil Game Show;Porto Alegre;RS;Sul;K-pop;Adulto;Indicação;Online;Pix;Confirmado;Masculino;36;28,57;1;28,57;2,86;25,71;9,76;120;31;11;6;Negativo
1084;2025-01-24;2025;1;Encontro Cosplay;Salvador;BA;Nordeste;Cosplay;Jovem adulto;Indicação;VIP;Cartão Crédito;Confirmado;Masculino;34;387,58;2;775,15;0,00;775,15;557,97;496;37;14;6;Positivo
1085;2025-04-02;2025;4;Encontro Cosplay;Indaiatuba;SP;Sudeste;E-sports;Jovem adulto;Instagram;VIP;Boleto;Confirmado;Feminino;16;365,71;2;731,42;0,00;731,42;495,15;2299;539;118;7;Positivo
1086;2025-11-08;2025;11;Torneio E-sports;Florianópolis;SC;Sul;E-sports;Adolescente;TikTok;Online;Boleto;Confirmado;Feminino;39;66,73;2;133,45;0,00;133,45;63,25;1832;153;174;1;Neutro
1087;2025-03-16;2025;3;CCXP;Belém;PA;Norte;E-sports;Adulto;Twitch;Pista;Boleto;Reembolsado;Masculino;40;125,33;1;125,33;0,00;0,00;30,81;647;27;36;2;Negativo
1088;2025-02-25;2025;2;Encontro Cosplay;São Paulo;SP;Sudeste;Anime;Adolescente;Twitch;Pista;Pix;Confirmado;Masculino;23;82,70;1;82,70;0,00;82,70;32,80;324;33;21;2;Negativo
1089;2026-02-12;2026;2;CCXP;Florianópolis;SC;Sul;Quadrinhos;Creator/Influencer;Indicação;Pista;Carteira Digital;Confirmado;Não informado;29;103,08;1;103,08;0,00;103,08;58,03;165;38;9;10;Muito positivo
1090;2025-05-11;2025;5;Brasil Game Show;Belém;PA;Norte;E-sports;Creator/Influencer;TikTok;Pista;Cartão Crédito;Confirmado;Masculino;36;149,56;1;149,56;0,00;149,56;68,41;1276;169;66;10;Positivo
1091;2025-05-20;2025;5;Anime Friends;Manaus;AM;Norte;Tecnologia;Família;TikTok;Online;Boleto;Reembolsado;Masculino;40;25,49;4;101,97;10,20;0,00;22,28;678;119;40;5;Positivo
1092;2025-08-01;2025;8;Torneio E-sports;Belo Horizonte;MG;Sudeste;Games;Adolescente;Indicação;Camarote;Cartão Crédito;Confirmado;Feminino;14;551,22;1;551,22;110,24;440,98;291,76;31;7;2;9;Muito positivo
1093;2025-09-04;2025;9;Anime Friends;Belém;PA;Norte;Games;Adolescente;Instagram;Pista;Pix;Confirmado;Feminino;51;170,37;1;170,37;34,07;136,30;101,92;548;56;27;2;Neutro
1094;2025-12-23;2025;12;CCXP;Curitiba;PR;Sul;Cosplay;Adulto;TikTok;Online;Cartão Crédito;Check-in realizado;Não informado;37;96,43;1;96,43;4,82;91,61;55,12;1539;408;187;9;Positivo
1095;2025-05-20;2025;5;Campus Party;Porto Alegre;RS;Sul;E-sports;Jovem adulto;Instagram;Pista;Cartão Crédito;Confirmado;Feminino;54;128,93;1;128,93;19,34;109,59;67,09;1191;84;96;10;Muito positivo
1096;2025-06-29;2025;6;Anime Friends;Porto Alegre;RS;Sul;Cosplay;Jovem adulto;Instagram;Pista;Carteira Digital;Reembolsado;Feminino;16;108,07;4;432,29;0,00;0,00;115,10;708;73;72;1;Negativo
1097;2025-11-26;2025;11;Torneio E-sports;Florianópolis;SC;Sul;Quadrinhos;Jovem adulto;Instagram;Pista;Cartão Crédito;Cancelado;Masculino;48;58,80;1;58,80;5,88;0,00;15,27;375;41;25;1;Negativo
1098;2025-04-11;2025;4;Torneio E-sports;Curitiba;PR;Sul;Games;Creator/Influencer;Google;Pista;Cartão Crédito;Confirmado;Feminino;39;93,05;1;93,05;4,65;88,40;51,58;250;68;16;6;Muito positivo
1099;2025-06-29;2025;6;Torneio E-sports;Recife;PE;Nordeste;Tecnologia;Adulto;Twitch;Pista;Cartão Crédito;Check-in realizado;Masculino;21;91,73;2;183,46;0,00;183,46;93,61;522;143;31;4;Neutro
1100;2026-02-06;2026;2;Brasil Game Show;Manaus;AM;Norte;Cultura Geek;Adolescente;YouTube;Camarote;Carteira Digital;Cancelado;Masculino;15;1043,80;2;2087,61;0,00;0,00;401,44;1823;386;89;3;Neutro
1101;2025-06-11;2025;6;Encontro Cosplay;Florianópolis;SC;Sul;K-pop;Família;YouTube;VIP;Pix;Confirmado;Feminino;30;222,92;1;222,92;22,29;200,63;94,85;809;42;40;9;Muito positivo
1102;2026-05-12;2026;5;Festival K-pop;Campinas;SP;Sudeste;Games;Família;TikTok;Online;Cartão Crédito;Check-in realizado;Masculino;16;38,20;1;38,20;0,00;38,20;17,28;1011;128;54;3;Negativo
1103;2025-05-01;2025;5;Feira Geek Local;Curitiba;PR;Sul;Cosplay;Adolescente;Google;Meet & Greet;Pix;Check-in realizado;Feminino;36;375,50;1;375,50;0,00;375,50;249,53;1700;307;171;6;Positivo
1104;2025-02-13;2025;2;Anime Friends;Goiânia;GO;Centro-Oeste;Games;Jovem adulto;Twitch;VIP;Cartão Crédito;Check-in realizado;Feminino;49;390,26;2;780,52;0,00;780,52;363,66;468;51;18;8;Positivo
1105;2025-11-25;2025;11;Brasil Game Show;Belo Horizonte;MG;Sudeste;Quadrinhos;Jovem adulto;Instagram;VIP;Cartão Crédito;Check-in realizado;Feminino;27;236,68;1;236,68;23,67;213,01;146,20;848;59;67;9;Positivo
1106;2025-08-24;2025;8;CCXP;Salvador;BA;Nordeste;Games;Família;Instagram;Pista;Pix;Cancelado;Feminino;25;105,39;1;105,39;0,00;0,00;12,38;4570;604;187;3;Negativo
1107;2026-01-14;2026;1;Torneio E-sports;Goiânia;GO;Centro-Oeste;E-sports;Adolescente;Google;Online;Pix;Check-in realizado;Masculino;42;41,59;2;83,18;0,00;83,18;42,91;245;59;16;10;Muito positivo
1108;2025-08-24;2025;8;Maratona Streamer;Goiânia;GO;Centro-Oeste;Tecnologia;Adulto;Instagram;Camarote;Pix;Check-in realizado;Feminino;22;460,18;1;460,18;46,02;414,16;173,96;485;115;40;10;Muito positivo
1109;2025-07-01;2025;7;Feira Geek Local;Salvador;BA;Nordeste;Games;Jovem adulto;TikTok;Pista;Cartão Débito;Confirmado;Feminino;53;55,46;2;110,92;0,00;110,92;39,78;136;31;14;7;Muito positivo
1110;2025-11-02;2025;11;Anime Friends;Indaiatuba;SP;Sudeste;E-sports;Creator/Influencer;TikTok;Pista;Pix;Check-in realizado;Feminino;40;154,63;1;154,63;7,73;146,90;109,38;1339;80;89;2;Negativo
1111;2025-09-12;2025;9;Anime Friends;Goiânia;GO;Centro-Oeste;Cultura Geek;Adulto;Twitch;Pista;Carteira Digital;Check-in realizado;Feminino;48;167,67;2;335,34;0,00;335,34;194,78;393;25;16;9;Muito positivo
1112;2026-04-12;2026;4;Campus Party;Campinas;SP;Sudeste;Tecnologia;Adulto;Indicação;Online;Carteira Digital;Check-in realizado;Masculino;43;69,34;1;69,34;10,40;58,94;37,09;72;9;3;7;Positivo
1113;2025-08-02;2025;8;Brasil Game Show;Belo Horizonte;MG;Sudeste;Cosplay;Jovem adulto;TikTok;Pista;Boleto;Check-in realizado;Masculino;48;73,33;1;73,33;0,00;73,33;38,86;706;104;74;9;Muito positivo
1114;2025-02-07;2025;2;Festival K-pop;Manaus;AM;Norte;Anime;Adulto;TikTok;VIP;Cartão Crédito;Confirmado;Masculino;35;338,57;1;338,57;33,86;304,71;137,80;537;46;27;10;Muito positivo
1115;2026-05-06;2026;5;CCXP;Belo Horizonte;MG;Sudeste;Anime;Jovem adulto;Indicação;Pista;Cartão Crédito;Check-in realizado;Masculino;15;154,38;2;308,76;30,88;277,88;165,94;262;14;7;5;Muito positivo
1116;2025-03-11;2025;3;Campus Party;Belo Horizonte;MG;Sudeste;K-pop;Jovem adulto;TikTok;Pista;Boleto;Check-in realizado;Masculino;54;65,73;1;65,73;13,15;52,58;43,34;202;43;24;6;Neutro
1117;2025-05-13;2025;5;Brasil Game Show;Rio de Janeiro;RJ;Sudeste;Tecnologia;Creator/Influencer;Instagram;Pista;Cartão Crédito;Confirmado;Masculino;45;108,79;1;108,79;0,00;108,79;54,86;521;37;43;2;Neutro
1118;2025-12-07;2025;12;Campus Party;São Paulo;SP;Sudeste;Quadrinhos;Adolescente;Instagram;Pista;Cartão Crédito;Check-in realizado;Feminino;26;82,03;2;164,06;0,00;164,06;61,72;2363;173;196;7;Positivo
1119;2025-04-06;2025;4;Torneio E-sports;São Paulo;SP;Sudeste;Games;Jovem adulto;TikTok;Pista;Cartão Crédito;Confirmado;Masculino;30;133,40;2;266,80;40,02;226,78;191,99;1084;211;128;9;Positivo
1120;2025-12-22;2025;12;Campus Party;Goiânia;GO;Centro-Oeste;Games;Creator/Influencer;Google;Pista;Pix;Check-in realizado;Feminino;49;123,91;1;123,91;18,59;105,32;49,87;40;10;4;9;Muito positivo
1121;2026-02-27;2026;2;Encontro Cosplay;Manaus;AM;Norte;Games;Jovem adulto;TikTok;VIP;Pix;Check-in realizado;Masculino;20;374,16;2;748,33;0,00;748,33;400,78;326;16;17;8;Positivo
1122;2025-07-22;2025;7;Campus Party;Curitiba;PR;Sul;Cosplay;Creator/Influencer;TikTok;Pista;Cartão Crédito;Confirmado;Masculino;30;80,25;1;80,25;12,04;68,21;28,93;1824;229;169;6;Positivo
1123;2025-10-15;2025;10;Torneio E-sports;Florianópolis;SC;Sul;K-pop;Adulto;TikTok;Pista;Cartão Crédito;Confirmado;Feminino;17;62,92;1;62,92;9,44;53,48;23,84;2922;552;107;4;Neutro
1124;2025-12-16;2025;12;Brasil Game Show;Indaiatuba;SP;Sudeste;Tecnologia;Adulto;Instagram;Online;Pix;Confirmado;Feminino;16;92,36;1;92,36;0,00;92,36;65,59;1397;141;107;5;Negativo
1125;2026-01-12;2026;1;Anime Friends;Porto Alegre;RS;Sul;K-pop;Adolescente;TikTok;VIP;Cartão Crédito;Confirmado;Feminino;31;297,71;1;297,71;14,89;282,82;107,56;1487;154;45;8;Muito positivo
1126;2025-05-13;2025;5;Maratona Streamer;Curitiba;PR;Sul;Cultura Geek;Jovem adulto;TikTok;Pista;Cartão Crédito;Check-in realizado;Masculino;47;98,63;1;98,63;0,00;98,63;38,70;2994;444;58;3;Negativo
1127;2025-05-22;2025;5;Anime Friends;Salvador;BA;Nordeste;K-pop;Jovem adulto;Twitch;Pista;Pix;Check-in realizado;Masculino;25;62,63;1;62,63;12,53;50,10;37,74;597;101;33;2;Neutro
1128;2025-02-26;2025;2;Festival K-pop;Salvador;BA;Nordeste;E-sports;Adolescente;Instagram;Meet & Greet;Carteira Digital;Confirmado;Masculino;24;841,87;1;841,87;0,00;841,87;567,85;651;65;11;8;Positivo
1129;2025-11-20;2025;11;CCXP;Salvador;BA;Nordeste;Cultura Geek;Adulto;Instagram;Pista;Carteira Digital;Check-in realizado;Masculino;47;117,50;1;117,50;5,88;111,62;56,03;895;209;59;1;Negativo
1130;2026-01-08;2026;1;Encontro Cosplay;Brasília;DF;Centro-Oeste;K-pop;Jovem adulto;Indicação;Pista;Pix;Confirmado;Masculino;17;65,04;3;195,13;0,00;195,13;125,52;55;8;2;8;Neutro
1131;2026-01-20;2026;1;CCXP;Campinas;SP;Sudeste;Anime;Jovem adulto;Instagram;Meet & Greet;Carteira Digital;Confirmado;Masculino;47;776,34;3;2329,01;116,45;2212,56;934,17;294;81;36;9;Positivo
1132;2025-01-28;2025;1;Anime Friends;Belém;PA;Norte;Anime;Jovem adulto;TikTok;Pista;Pix;Confirmado;Masculino;45;158,80;1;158,80;15,88;142,92;54,31;448;47;44;6;Muito positivo
1133;2026-03-04;2026;3;Festival K-pop;São Paulo;SP;Sudeste;K-pop;Jovem adulto;Email Marketing;VIP;Cartão Crédito;Confirmado;Feminino;38;332,87;2;665,74;0,00;665,74;223,96;97;7;3;8;Positivo
1134;2025-09-21;2025;9;Brasil Game Show;Campinas;SP;Sudeste;E-sports;Adolescente;Indicação;VIP;Pix;Confirmado;Feminino;22;237,07;1;237,07;0,00;237,07;124,00;173;43;20;10;Positivo
1135;2026-01-17;2026;1;Torneio E-sports;Recife;PE;Nordeste;Quadrinhos;Família;Google;Pista;Pix;Confirmado;Não informado;51;133,82;3;401,46;0,00;401,46;256,56;244;42;21;2;Negativo
1136;2026-02-05;2026;2;Brasil Game Show;Porto Alegre;RS;Sul;K-pop;Jovem adulto;Indicação;Meet & Greet;Pix;Check-in realizado;Feminino;30;1146,65;2;2293,30;229,33;2063,97;1226,53;119;30;14;6;Neutro
1137;2026-04-24;2026;4;Festival K-pop;Rio de Janeiro;RJ;Sudeste;Cultura Geek;Jovem adulto;Instagram;Pista;Pix;Confirmado;Feminino;20;148,73;1;148,73;0,00;148,73;97,84;2216;184;69;7;Positivo
1138;2025-10-20;2025;10;Festival K-pop;Recife;PE;Nordeste;Cosplay;Jovem adulto;TikTok;Pista;Pix;Confirmado;Feminino;39;92,78;1;92,78;0,00;92,78;56,48;2059;476;116;2;Negativo
1139;2025-02-01;2025;2;Festival K-pop;Fortaleza;CE;Nordeste;E-sports;Jovem adulto;Twitch;Pista;Pix;Check-in realizado;Feminino;33;123,67;1;123,67;24,73;98,94;87,82;1198;255;91;8;Muito positivo
1140;2025-01-15;2025;1;Maratona Streamer;Campinas;SP;Sudeste;Anime;Adulto;Instagram;Meet & Greet;Boleto;Confirmado;Masculino;31;486,12;1;486,12;0,00;486,12;255,01;457;117;33;7;Muito positivo
1141;2026-03-18;2026;3;Anime Friends;Goiânia;GO;Centro-Oeste;K-pop;Adulto;Email Marketing;VIP;Boleto;Check-in realizado;Feminino;28;322,34;4;1289,36;64,47;1224,89;761,66;27;2;2;8;Positivo
1142;2025-09-09;2025;9;Festival K-pop;Salvador;BA;Nordeste;E-sports;Adulto;Google;Meet & Greet;Cartão Crédito;Check-in realizado;Feminino;38;444,60;4;1778,39;0,00;1778,39;1118,31;219;20;11;6;Positivo
1143;2025-09-25;2025;9;Lançamento Indie;Campinas;SP;Sudeste;Cosplay;Adolescente;TikTok;Online;Cartão Débito;Confirmado;Feminino;21;17,63;1;17,63;2,64;14,99;12,05;671;162;79;10;Muito positivo
1144;2026-01-22;2026;1;Torneio E-sports;Belo Horizonte;MG;Sudeste;Games;Creator/Influencer;TikTok;Online;Pix;Confirmado;Masculino;47;51,10;1;51,10;7,67;43,43;35,23;989;180;110;7;Positivo
1145;2026-01-16;2026;1;Lançamento Indie;Campinas;SP;Sudeste;Anime;Creator/Influencer;YouTube;VIP;Cartão Crédito;Check-in realizado;Feminino;49;271,87;1;271,87;13,59;258,28;121,20;249;21;13;6;Positivo
1146;2025-10-22;2025;10;Anime Friends;Goiânia;GO;Centro-Oeste;Cultura Geek;Creator/Influencer;Instagram;Pista;Pix;Confirmado;Feminino;24;135,15;1;135,15;0,00;135,15;93,05;782;90;31;3;Negativo
1147;2026-01-10;2026;1;Lançamento Indie;Campinas;SP;Sudeste;K-pop;Adulto;TikTok;Online;Pix;Check-in realizado;Masculino;51;33,14;1;33,14;3,31;29,83;18,33;465;29;13;7;Positivo
1148;2025-07-30;2025;7;Lançamento Indie;Belém;PA;Norte;Cultura Geek;Adulto;Twitch;Pista;Pix;Check-in realizado;Masculino;54;84,17;1;84,17;4,21;79,96;42,04;1271;100;77;1;Neutro
1149;2025-12-07;2025;12;Maratona Streamer;Belo Horizonte;MG;Sudeste;Anime;Adulto;Instagram;Meet & Greet;Pix;Check-in realizado;Feminino;51;821,54;2;1643,08;164,31;1478,77;730,11;1382;298;93;9;Muito positivo
1150;2026-04-27;2026;4;CCXP;Brasília;DF;Centro-Oeste;Anime;Creator/Influencer;Instagram;VIP;Cartão Crédito;Confirmado;Não informado;15;475,74;1;475,74;23,79;451,95;164,15;809;113;61;8;Positivo
1151;2026-03-11;2026;3;Encontro Cosplay;Florianópolis;SC;Sul;Cosplay;Creator/Influencer;Indicação;Pista;Boleto;Reembolsado;Masculino;14;126,75;1;126,75;0,00;0,00;22,21;84;15;6;5;Muito positivo
1152;2025-12-22;2025;12;Feira Geek Local;São Paulo;SP;Sudeste;Anime;Adolescente;Indicação;Pista;Boleto;Confirmado;Masculino;37;104,79;3;314,37;0,00;314,37;110,22;136;32;14;10;Muito positivo
1153;2025-01-20;2025;1;Feira Geek Local;Campinas;SP;Sudeste;Tecnologia;Jovem adulto;TikTok;Pista;Cartão Crédito;Check-in realizado;Masculino;38;119,59;1;119,59;17,94;101,65;50,13;162;9;7;4;Neutro
1154;2025-02-27;2025;2;Anime Friends;Goiânia;GO;Centro-Oeste;Cosplay;Jovem adulto;Google;Pista;Cartão Crédito;Confirmado;Masculino;52;200,82;2;401,64;20,08;381,56;261,67;395;105;26;7;Positivo
1155;2025-04-15;2025;4;Anime Friends;Rio de Janeiro;RJ;Sudeste;Cosplay;Família;Email Marketing;Pista;Pix;Confirmado;Feminino;15;124,01;2;248,01;49,60;198,41;156,63;42;6;4;8;Neutro
1156;2025-05-26;2025;5;Maratona Streamer;Rio de Janeiro;RJ;Sudeste;Anime;Adolescente;Instagram;Pista;Pix;Check-in realizado;Feminino;20;58,29;1;58,29;0,00;58,29;21,19;1040;107;41;7;Neutro
1157;2026-01-22;2026;1;Encontro Cosplay;São Paulo;SP;Sudeste;Games;Jovem adulto;Indicação;VIP;Pix;Check-in realizado;Feminino;26;194,25;2;388,49;19,42;369,07;272,98;90;24;4;9;Muito positivo
1158;2025-10-16;2025;10;Anime Friends;Salvador;BA;Nordeste;K-pop;Adolescente;TikTok;Pista;Cartão Crédito;Check-in realizado;Masculino;39;87,64;2;175,28;17,53;157,75;100,35;665;172;39;2;Negativo
1159;2025-04-12;2025;4;CCXP;São Paulo;SP;Sudeste;E-sports;Adolescente;Instagram;VIP;Cartão Débito;Check-in realizado;Feminino;36;420,82;1;420,82;0,00;420,82;279,31;967;69;47;10;Positivo
1160;2026-03-18;2026;3;Lançamento Indie;Curitiba;PR;Sul;Games;Jovem adulto;Twitch;Pista;Pix;Confirmado;Masculino;36;135,33;2;270,67;40,60;230,07;192,04;599;138;52;6;Neutro
1161;2026-05-04;2026;5;Maratona Streamer;Belém;PA;Norte;Quadrinhos;Jovem adulto;Indicação;Online;Pix;Confirmado;Masculino;25;57,51;2;115,02;11,50;103,52;74,84;30;7;3;1;Negativo
1162;2025-12-13;2025;12;Encontro Cosplay;Recife;PE;Nordeste;K-pop;Adolescente;Google;VIP;Cartão Crédito;Check-in realizado;Masculino;39;402,53;1;402,53;0,00;402,53;223,13;321;24;29;6;Positivo
1163;2026-02-15;2026;2;Brasil Game Show;Indaiatuba;SP;Sudeste;Games;Creator/Influencer;Instagram;Camarote;Cartão Crédito;Confirmado;Não informado;45;911,89;1;911,89;0,00;911,89;527,32;934;39;50;6;Positivo
1164;2025-03-10;2025;3;Brasil Game Show;Florianópolis;SC;Sul;Anime;Adulto;Instagram;Camarote;Cartão Débito;Check-in realizado;Feminino;37;738,49;2;1476,98;73,85;1403,13;725,49;3658;991;354;7;Positivo
1165;2025-09-11;2025;9;Lançamento Indie;Fortaleza;CE;Nordeste;E-sports;Família;Twitch;VIP;Cartão Crédito;Check-in realizado;Feminino;18;367,23;5;1836,14;0,00;1836,14;639,73;518;125;56;8;Positivo
1166;2025-02-17;2025;2;CCXP;Manaus;AM;Norte;K-pop;Adolescente;Indicação;Pista;Pix;Reembolsado;Masculino;23;113,40;1;113,40;5,67;0,00;14,80;31;6;2;3;Negativo
1167;2025-10-01;2025;10;CCXP;São Paulo;SP;Sudeste;Games;Família;Instagram;Pista;Cartão Crédito;Check-in realizado;Feminino;42;83,41;1;83,41;8,34;75,07;56,09;2062;549;184;6;Muito positivo
1168;2025-04-30;2025;4;CCXP;Curitiba;PR;Sul;Tecnologia;Adolescente;TikTok;Meet & Greet;Pix;Confirmado;Masculino;26;598,66;3;1795,97;0,00;1795,97;701,91;954;140;30;8;Neutro
1169;2026-02-23;2026;2;Torneio E-sports;Manaus;AM;Norte;Anime;Adolescente;Indicação;Pista;Cartão Crédito;Confirmado;Feminino;54;106,11;2;212,21;10,61;201,60;88,64;22;5;2;10;Muito positivo
1170;2025-03-08;2025;3;Festival K-pop;Indaiatuba;SP;Sudeste;E-sports;Família;Instagram;Meet & Greet;Boleto;Check-in realizado;Feminino;50;437,21;1;437,21;65,58;371,63;140,38;2541;314;109;7;Positivo
1171;2025-04-03;2025;4;Torneio E-sports;Florianópolis;SC;Sul;Cosplay;Adolescente;YouTube;VIP;Cartão Débito;Check-in realizado;Masculino;31;349,98;3;1049,94;0,00;1049,94;515,95;927;194;82;9;Muito positivo
1172;2025-02-02;2025;2;Lançamento Indie;Campinas;SP;Sudeste;Tecnologia;Jovem adulto;Indicação;Camarote;Pix;Confirmado;Feminino;13;534,49;1;534,49;0,00;534,49;277,72;138;22;11;9;Muito positivo
1173;2025-06-03;2025;6;Feira Geek Local;Brasília;DF;Centro-Oeste;Anime;Jovem adulto;TikTok;Pista;Boleto;Confirmado;Masculino;50;136,08;1;136,08;40,82;95,26;46,14;189;43;19;1;Negativo
1174;2025-01-12;2025;1;Torneio E-sports;Rio de Janeiro;RJ;Sudeste;E-sports;Adolescente;Indicação;Pista;Pix;Check-in realizado;Feminino;14;99,12;1;99,12;19,82;79,30;32,86;148;38;17;3;Neutro
1175;2025-08-19;2025;8;Encontro Cosplay;São Paulo;SP;Sudeste;E-sports;Adolescente;YouTube;Pista;Pix;Check-in realizado;Masculino;35;136,42;1;136,42;0,00;136,42;80,97;452;103;35;2;Negativo
1176;2025-04-03;2025;4;Brasil Game Show;Curitiba;PR;Sul;Tecnologia;Adolescente;TikTok;Pista;Cartão Crédito;Confirmado;Masculino;38;161,30;1;161,30;0,00;161,30;84,21;1156;212;56;5;Positivo
1177;2026-05-07;2026;5;Anime Friends;Rio de Janeiro;RJ;Sudeste;E-sports;Adulto;YouTube;Pista;Pix;Check-in realizado;Masculino;29;194,55;2;389,09;0,00;389,09;220,27;730;187;94;1;Neutro
1178;2025-05-24;2025;5;Anime Friends;Manaus;AM;Norte;E-sports;Creator/Influencer;TikTok;VIP;Pix;Check-in realizado;Feminino;42;335,49;1;335,49;0,00;335,49;171,18;705;56;60;9;Muito positivo
1179;2025-01-05;2025;1;Festival K-pop;Campinas;SP;Sudeste;Quadrinhos;Família;TikTok;Pista;Pix;Confirmado;Feminino;38;127,56;1;127,56;6,38;121,18;70,11;646;148;37;1;Negativo
1180;2025-01-01;2025;1;Feira Geek Local;Brasília;DF;Centro-Oeste;E-sports;Adolescente;Instagram;Pista;Cartão Crédito;Confirmado;Feminino;49;115,42;1;115,42;0,00;115,42;81,86;544;65;37;1;Negativo
1181;2025-08-21;2025;8;Encontro Cosplay;São Paulo;SP;Sudeste;Games;Adolescente;Email Marketing;VIP;Pix;Confirmado;Masculino;50;224,06;2;448,13;89,63;358,50;313,19;78;13;8;9;Positivo
1182;2025-04-26;2025;4;Maratona Streamer;Belém;PA;Norte;Tecnologia;Creator/Influencer;Instagram;Online;Pix;Check-in realizado;Masculino;29;15,44;1;15,44;0,00;15,44;7,15;1601;278;168;3;Negativo
1183;2026-03-07;2026;3;Maratona Streamer;Recife;PE;Nordeste;Games;Adulto;YouTube;Pista;Pix;Check-in realizado;Masculino;14;100,44;4;401,78;40,18;361,60;185,67;315;16;12;4;Neutro
1184;2025-06-26;2025;6;Feira Geek Local;Brasília;DF;Centro-Oeste;Anime;Adolescente;Indicação;Meet & Greet;Cartão Crédito;Check-in realizado;Não informado;37;560,47;4;2241,90;672,57;1569,33;1460,11;95;8;2;9;Muito positivo
